group,names,scores,logfoldchanges,pvals,pvals_adj
3,Rpgrip1,0.14225973,-0.24754706,0.8868748505283945,1.0
3,Lars2,0.14087857,-0.06776832,0.8879658706705844,1.0
3,Arid4b,0.13942471,0.023048427,0.8891145422491636,1.0
3,Cnrip1,0.13866144,0.069445945,0.889717688196869,1.0
3,Gm10369,0.13837068,0.46004176,0.8899474748923596,1.0
3,Trp53cor1,0.13811624,0.26594675,0.8901485458357368,1.0
3,A830082K12Rik,0.13753471,2.2759793,0.8906081630756819,1.0
3,Irgm2,0.1365897,0.06945716,0.8913551194307182,1.0
3,Serpinh1,0.13571739,1.0832704,0.892044703201067,1.0
3,0610009E02Rik,0.13535392,1.0935122,0.8923320538977231,1.0
3,Paqr5,0.13477238,0.7691736,0.8927918444016726,1.0
3,Padi4,0.13448161,0.15803501,0.8930217531773894,1.0
3,Enpp5,0.13382737,0.8257017,0.8935390807647525,1.0
3,Dip2a,0.13331853,0.14834602,0.8939414779931719,1.0
3,Ccdc30,0.13310045,0.5776527,0.8941139423110646,1.0
3,Tap1,0.13295506,0.0006770179,0.894228921304644,1.0
3,Tmem241,0.13215543,0.37484604,0.8948613454331391,1.0
3,Foxo1,0.13131948,0.051867235,0.8955225875668597,1.0
3,Gpr137b,0.13121043,0.09092631,0.8956088419024705,1.0
3,Trib1,0.13106506,0.2023435,0.8957238496027532,1.0
3,Fam214a,0.13099235,0.21867992,0.895781354274852,1.0
3,Sv2a,0.12997466,0.4291495,0.8965864770435359,1.0
3,Timp3,0.12841177,-0.02983195,0.8978231226677326,1.0
3,F730016J06Rik,0.12764849,2.2586374,0.8984271562739031,1.0
3,Cxcl2,0.12699425,1.1207533,0.8989449462212662,1.0
3,Ctxn1,0.12634002,0.23250654,0.8994627791905098,1.0
3,Snca,0.124559045,0.6327882,0.9008726518316296,1.0
3,Gm16140,0.12430462,0.85128146,0.9010740878459542,1.0
3,Rhobtb2,0.12208749,-0.2759812,0.902829727082035,1.0
3,Klhl24,0.11954325,0.15397371,0.9048449801892275,1.0
3,Zfp329,0.11899805,0.21923278,0.9052769003350845,1.0
3,Arhgef5,0.11863459,0.009202687,0.9055648626749631,1.0
3,Ankrd37,0.11819843,0.12270782,0.9059104338699893,1.0
3,2200002D01Rik,0.11732612,1.6802044,0.9066016296423091,1.0
3,Mpl,0.11725342,0.07329061,0.9066592324904683,1.0
3,Serpine1,0.11710804,1.1317897,0.9067744396594222,1.0
3,Gm14966,0.11674458,0.90768296,0.9070624661581699,1.0
3,Spire2,0.11674458,0.7598071,0.9070624661581699,1.0
3,C8g,0.11674458,0.6352053,0.9070624661581699,1.0
3,Eps8l1,0.11456379,0.5100432,0.9087908804971538,1.0
3,Kank3,0.1134734,0.58350104,0.9096552501282619,1.0
3,Gata3,0.11332802,0.2077217,0.9097705075156307,1.0
3,Sirt3,0.11310994,-0.025117574,0.9099433971566051,1.0
3,Gimap1os,0.11216493,0.4827026,0.9106926347774652,1.0
3,Stk39,0.11132897,-0.069124386,0.9113554881283634,1.0
3,Jazf1,0.109402604,0.059812948,0.9128831669250672,1.0
3,Atp1b2,0.1074399,1.5180671,0.9144400009740126,1.0
3,Prickle1,0.1074399,2.1022906,0.9144400009740126,1.0
3,Slc39a2,0.10736721,1.9748558,0.9144976678362378,1.0
3,Wnt16,0.10398699,0.08103845,0.9171796689414913,1.0
3,Sema4c,0.103187375,-0.15445746,0.9178142598502047,1.0
3,Meg3,0.1024241,0.1671288,0.918420054569911,1.0
3,Mex3b,0.10104294,0.13420068,0.9195163746897903,1.0
3,Ppp1r3d,0.09984351,0.38973993,0.9204685663707585,1.0
3,Rian,0.099189274,0.15960516,0.920987991803031,1.0
