group,names,scores,logfoldchanges,pvals,pvals_adj
0,CDX2,7.0700603,1.6391126,1.5486637570928988e-12,2.9896983727662136e-12
0,TAC1,7.044178,0.2455599,1.865595578536521e-12,3.5945964904364565e-12
0,LRRC17,7.0148087,0.35499075,2.302640982857508e-12,4.4281557362644385e-12
0,FBLN2,6.8836145,0.27400872,5.835263238856466e-12,1.1009930639351822e-11
0,HEY1,6.8807473,0.23547386,5.953936699307167e-12,1.121268681602103e-11
0,CYP4X1,6.862459,0.531402,6.768505678523413e-12,1.2722755034818444e-11
0,CYTL1,6.833787,0.41693404,8.270168023336593e-12,1.5487206036210848e-11
0,EDNRA,6.83309,0.469267,8.310491505407969e-12,1.5533628982070968e-11
0,RBP1,6.80558,0.396769,1.006428579451656e-11,1.870685091917576e-11
0,GNRH2,6.7668343,0.7733447,1.3163085771276643e-11,2.4421309408676518e-11
0,LA16c-380H5.3,6.760712,0.5271974,1.3731501568532395e-11,2.5428706608393324e-11
0,IGF2,6.6447067,0.28865162,3.038214431099392e-11,5.5644952950538306e-11
0,FOXF1,6.541565,1.2197158,6.087842245276693e-11,1.1068804082321259e-10
0,MMP23B,6.5396276,0.1780148,6.167222298884676e-11,1.1192780941714476e-10
0,RAMP2,6.5208745,0.20090576,6.98986566716497e-11,1.263990174894208e-10
0,HBZ,6.4835234,0.53651774,8.960500533478611e-11,1.6116008153738507e-10
0,GRIA2,6.344425,0.38827732,2.2325742368514063e-10,3.9938716222744293e-10
0,GATA6-AS1,6.257634,0.49521285,3.9086138051831843e-10,6.893498774573518e-10
0,CTSK,6.2351613,0.2645338,4.513123032592572e-10,7.93167492547025e-10
0,CDX4,6.1844044,,6.233744883042818e-10,1.0917241476432256e-09
0,NPY,6.1628613,0.8058861,7.144201768305285e-10,1.2489863231302946e-09
0,NGF,6.12985,0.25262326,8.796204877112111e-10,1.5324398740613435e-09
0,LHX1,6.1160564,,9.591946676450786e-10,1.6652685202171504e-09
0,PLK2,6.087462,0.28329274,1.1471478978324392e-09,1.988124606295389e-09
0,HOXB-AS3,5.93736,0.8126345,2.8964869971270446e-09,4.9682452780909856e-09
0,SYNPO2,5.854676,0.21902548,4.7794156342697365e-09,8.169941255161943e-09
0,PLS3,5.841812,0.32122847,5.1636037077724225e-09,8.811610422819835e-09
0,RP11-95O2.5,5.8249965,0.31274718,5.711386125306391e-09,9.713241709704748e-09
0,INHBA,5.8245316,0.30554655,5.727308364706927e-09,9.723783301709554e-09
0,L3MBTL4,5.8112025,0.41563886,6.202559350920518e-09,1.0495024282437425e-08
0,CST1,5.7733865,1.0142858,7.769388398286212e-09,1.3079778448293287e-08
0,CHCHD2,5.6899276,0.11904896,1.270931341566671e-08,2.1217551612131402e-08
0,AC140912.1,5.679389,0.34574255,1.3517686568917613e-08,2.2529477614862688e-08
0,DSG3,5.6435876,0.27838078,1.665427907887559e-08,2.7664915413414602e-08
0,TFF3,5.62282,1.0160067,1.8786547579614424e-08,3.110355559538812e-08
0,ZNF385D,5.6204176,0.27112043,1.9049662509384545e-08,3.1487045470057096e-08
0,KRT8,5.5159583,0.22994368,3.468846938318282e-08,5.71473960184231e-08
0,LGALS2,5.4156837,0.38506642,6.105499971209657e-08,9.97630714249944e-08
0,LEPR,5.39972,0.19034606,6.674491226989862e-08,1.0888240174534849e-07
0,CAPN9,5.3920484,0.9856088,6.965896120667563e-08,1.1308272923161629e-07
0,CA4,5.384842,0.56834775,7.250841815729788e-08,1.1751769555477777e-07
0,WNT2B,5.373838,0.1968536,7.707816717433318e-08,1.2472195335652618e-07
0,PLSCR2,5.3152537,,1.0650869765106197e-07,1.7123584831360444e-07
0,TRPM1,5.2290826,1.5579462,1.7035304917521748e-07,2.7212947152590653e-07
0,COL3A1,5.2171493,0.4527534,1.8169805004446435e-07,2.893281051663445e-07
0,C7,5.20692,0.26522577,1.920007134996096e-07,3.052475572330836e-07
0,HIP1R,5.1337676,0.12174012,2.839986696160402e-07,4.493649835696839e-07
0,LGALS1,5.120904,0.35061347,3.040744578276977e-07,4.796127095074096e-07
0,FGB,5.1116824,0.38377467,3.1930226650370447e-07,5.020475888423026e-07
0,ITLN2,5.0668144,0.74801594,4.0452801296916866e-07,6.330641830503421e-07
0,NPR3,4.995987,0.3542349,5.853564270281208e-07,9.103521415678395e-07
0,CD44,4.980876,0.28477746,6.329711262705612e-07,9.828744196747844e-07
0,PTX3,4.942982,0.27102834,7.693645455871691e-07,1.189126036456212e-06
0,ALPK1,4.905244,0.28284216,9.331139435831643e-07,1.437771869927834e-06
